,product,price,quantity,date,region,sales
476,pink morsel,3.0,511,2018-02-23,north,1533.0
477,pink morsel,3.0,521,2018-02-23,south,1563.0
478,pink morsel,3.0,547,2018-02-23,east,1641.0
479,pink morsel,3.0,591,2018-02-23,west,1773.0
504,pink morsel,3.0,543,2018-02-24,north,1629.0
505,pink morsel,3.0,566,2018-02-24,south,1698.0
506,pink morsel,3.0,575,2018-02-24,east,1725.0
507,pink morsel,3.0,574,2018-02-24,west,1722.0
532,pink morsel,3.0,532,2018-02-25,north,1596.0
533,pink morsel,3.0,570,2018-02-25,south,1710.0
534,pink morsel,3.0,545,2018-02-25,east,1635.0
535,pink morsel,3.0,553,2018-02-25,west,1659.0
560,pink morsel,3.0,562,2018-02-26,north,1686.0
561,pink morsel,3.0,511,2018-02-26,south,1533.0
562,pink morsel,3.0,508,2018-02-26,east,1524.0
563,pink morsel,3.0,510,2018-02-26,west,1530.0
588,pink morsel,3.0,555,2018-02-27,north,1665.0
589,pink morsel,3.0,565,2018-02-27,south,1695.0
590,pink morsel,3.0,526,2018-02-27,east,1578.0
591,pink morsel,3.0,540,2018-02-27,west,1620.0
616,pink morsel,3.0,589,2018-02-28,north,1767.0
617,pink morsel,3.0,531,2018-02-28,south,1593.0
618,pink morsel,3.0,581,2018-02-28,east,1743.0
619,pink morsel,3.0,519,2018-02-28,west,1557.0
644,pink morsel,3.0,556,2018-03-01,north,1668.0
645,pink morsel,3.0,594,2018-03-01,south,1782.0
646,pink morsel,3.0,509,2018-03-01,east,1527.0
647,pink morsel,3.0,556,2018-03-01,west,1668.0
672,pink morsel,3.0,545,2018-03-02,north,1635.0
673,pink morsel,3.0,523,2018-03-02,south,1569.0
674,pink morsel,3.0,582,2018-03-02,east,1746.0
675,pink morsel,3.0,591,2018-03-02,west,1773.0
700,pink morsel,3.0,513,2018-03-03,north,1539.0
701,pink morsel,3.0,500,2018-03-03,south,1500.0
702,pink morsel,3.0,523,2018-03-03,east,1569.0
703,pink morsel,3.0,519,2018-03-03,west,1557.0
728,pink morsel,3.0,591,2018-03-04,north,1773.0
729,pink morsel,3.0,548,2018-03-04,south,1644.0
730,pink morsel,3.0,538,2018-03-04,east,1614.0
731,pink morsel,3.0,558,2018-03-04,west,1674.0
756,pink morsel,3.0,511,2018-03-05,north,1533.0
757,pink morsel,3.0,551,2018-03-05,south,1653.0
758,pink morsel,3.0,519,2018-03-05,east,1557.0
759,pink morsel,3.0,582,2018-03-05,west,1746.0
784,pink morsel,3.0,573,2018-03-06,north,1719.0
785,pink morsel,3.0,573,2018-03-06,south,1719.0
786,pink morsel,3.0,553,2018-03-06,east,1659.0
787,pink morsel,3.0,600,2018-03-06,west,1800.0
812,pink morsel,3.0,527,2018-03-07,north,1581.0
813,pink morsel,3.0,534,2018-03-07,south,1602.0
814,pink morsel,3.0,536,2018-03-07,east,1608.0
815,pink morsel,3.0,550,2018-03-07,west,1650.0
840,pink morsel,3.0,537,2018-03-08,north,1611.0
841,pink morsel,3.0,510,2018-03-08,south,1530.0
842,pink morsel,3.0,566,2018-03-08,east,1698.0
843,pink morsel,3.0,556,2018-03-08,west,1668.0
868,pink morsel,3.0,582,2018-03-09,north,1746.0
869,pink morsel,3.0,508,2018-03-09,south,1524.0
870,pink morsel,3.0,502,2018-03-09,east,1506.0
871,pink morsel,3.0,568,2018-03-09,west,1704.0
896,pink morsel,3.0,596,2018-03-10,north,1788.0
897,pink morsel,3.0,573,2018-03-10,south,1719.0
898,pink morsel,3.0,582,2018-03-10,east,1746.0
899,pink morsel,3.0,528,2018-03-10,west,1584.0
924,pink morsel,3.0,564,2018-03-11,north,1692.0
925,pink morsel,3.0,545,2018-03-11,south,1635.0
926,pink morsel,3.0,536,2018-03-11,east,1608.0
927,pink morsel,3.0,530,2018-03-11,west,1590.0
952,pink morsel,3.0,533,2018-03-12,north,1599.0
953,pink morsel,3.0,506,2018-03-12,south,1518.0
954,pink morsel,3.0,534,2018-03-12,east,1602.0
955,pink morsel,3.0,553,2018-03-12,west,1659.0
980,pink morsel,3.0,548,2018-03-13,north,1644.0
981,pink morsel,3.0,537,2018-03-13,south,1611.0
982,pink morsel,3.0,518,2018-03-13,east,1554.0
983,pink morsel,3.0,505,2018-03-13,west,1515.0
1008,pink morsel,3.0,505,2018-03-14,north,1515.0
1009,pink morsel,3.0,544,2018-03-14,south,1632.0
1010,pink morsel,3.0,504,2018-03-14,east,1512.0
1011,pink morsel,3.0,592,2018-03-14,west,1776.0
1036,pink morsel,3.0,559,2018-03-15,north,1677.0
1037,pink morsel,3.0,501,2018-03-15,south,1503.0
1038,pink morsel,3.0,535,2018-03-15,east,1605.0
1039,pink morsel,3.0,549,2018-03-15,west,1647.0
1064,pink morsel,3.0,502,2018-03-16,north,1506.0
1065,pink morsel,3.0,579,2018-03-16,south,1737.0
1066,pink morsel,3.0,530,2018-03-16,east,1590.0
1067,pink morsel,3.0,589,2018-03-16,west,1767.0
1092,pink morsel,3.0,531,2018-03-17,north,1593.0
1093,pink morsel,3.0,538,2018-03-17,south,1614.0
1094,pink morsel,3.0,570,2018-03-17,east,1710.0
1095,pink morsel,3.0,554,2018-03-17,west,1662.0
1120,pink morsel,3.0,550,2018-03-18,north,1650.0
1121,pink morsel,3.0,585,2018-03-18,south,1755.0
1122,pink morsel,3.0,566,2018-03-18,east,1698.0
1123,pink morsel,3.0,553,2018-03-18,west,1659.0
1148,pink morsel,3.0,561,2018-03-19,north,1683.0
1149,pink morsel,3.0,503,2018-03-19,south,1509.0
1150,pink morsel,3.0,500,2018-03-19,east,1500.0
1151,pink morsel,3.0,515,2018-03-19,west,1545.0
1176,pink morsel,3.0,549,2018-03-20,north,1647.0
1177,pink morsel,3.0,538,2018-03-20,south,1614.0
1178,pink morsel,3.0,543,2018-03-20,east,1629.0
1179,pink morsel,3.0,559,2018-03-20,west,1677.0
1204,pink morsel,3.0,581,2018-03-21,north,1743.0
1205,pink morsel,3.0,523,2018-03-21,south,1569.0
1206,pink morsel,3.0,531,2018-03-21,east,1593.0
1207,pink morsel,3.0,526,2018-03-21,west,1578.0
1232,pink morsel,3.0,526,2018-03-22,north,1578.0
1233,pink morsel,3.0,527,2018-03-22,south,1581.0
1234,pink morsel,3.0,551,2018-03-22,east,1653.0
1235,pink morsel,3.0,526,2018-03-22,west,1578.0
1260,pink morsel,3.0,587,2018-03-23,north,1761.0
1261,pink morsel,3.0,537,2018-03-23,south,1611.0
1262,pink morsel,3.0,583,2018-03-23,east,1749.0
1263,pink morsel,3.0,588,2018-03-23,west,1764.0
1288,pink morsel,3.0,572,2018-03-24,north,1716.0
1289,pink morsel,3.0,570,2018-03-24,south,1710.0
1290,pink morsel,3.0,600,2018-03-24,east,1800.0
1291,pink morsel,3.0,576,2018-03-24,west,1728.0
1316,pink morsel,3.0,581,2018-03-25,north,1743.0
1317,pink morsel,3.0,588,2018-03-25,south,1764.0
1318,pink morsel,3.0,580,2018-03-25,east,1740.0
1319,pink morsel,3.0,569,2018-03-25,west,1707.0
1344,pink morsel,3.0,503,2018-03-26,north,1509.0
1345,pink morsel,3.0,547,2018-03-26,south,1641.0
1346,pink morsel,3.0,511,2018-03-26,east,1533.0
1347,pink morsel,3.0,584,2018-03-26,west,1752.0
1372,pink morsel,3.0,589,2018-03-27,north,1767.0
1373,pink morsel,3.0,530,2018-03-27,south,1590.0
1374,pink morsel,3.0,511,2018-03-27,east,1533.0
1375,pink morsel,3.0,568,2018-03-27,west,1704.0
1400,pink morsel,3.0,557,2018-03-28,north,1671.0
1401,pink morsel,3.0,509,2018-03-28,south,1527.0
1402,pink morsel,3.0,508,2018-03-28,east,1524.0
1403,pink morsel,3.0,543,2018-03-28,west,1629.0
1428,pink morsel,3.0,574,2018-03-29,north,1722.0
1429,pink morsel,3.0,519,2018-03-29,south,1557.0
1430,pink morsel,3.0,562,2018-03-29,east,1686.0
1431,pink morsel,3.0,593,2018-03-29,west,1779.0
1456,pink morsel,3.0,578,2018-03-30,north,1734.0
1457,pink morsel,3.0,592,2018-03-30,south,1776.0
1458,pink morsel,3.0,518,2018-03-30,east,1554.0
1459,pink morsel,3.0,575,2018-03-30,west,1725.0
1484,pink morsel,3.0,539,2018-03-31,north,1617.0
1485,pink morsel,3.0,545,2018-03-31,south,1635.0
1486,pink morsel,3.0,535,2018-03-31,east,1605.0
1487,pink morsel,3.0,595,2018-03-31,west,1785.0
1512,pink morsel,3.0,587,2018-04-01,north,1761.0
1513,pink morsel,3.0,510,2018-04-01,south,1530.0
1514,pink morsel,3.0,570,2018-04-01,east,1710.0
1515,pink morsel,3.0,502,2018-04-01,west,1506.0
1540,pink morsel,3.0,503,2018-04-02,north,1509.0
1541,pink morsel,3.0,599,2018-04-02,south,1797.0
1542,pink morsel,3.0,554,2018-04-02,east,1662.0
1543,pink morsel,3.0,510,2018-04-02,west,1530.0
1568,pink morsel,3.0,589,2018-04-03,north,1767.0
1569,pink morsel,3.0,589,2018-04-03,south,1767.0
1570,pink morsel,3.0,538,2018-04-03,east,1614.0
1571,pink morsel,3.0,511,2018-04-03,west,1533.0
1596,pink morsel,3.0,589,2018-04-04,north,1767.0
1597,pink morsel,3.0,587,2018-04-04,south,1761.0
1598,pink morsel,3.0,522,2018-04-04,east,1566.0
1599,pink morsel,3.0,541,2018-04-04,west,1623.0
1624,pink morsel,3.0,502,2018-04-05,north,1506.0
1625,pink morsel,3.0,504,2018-04-05,south,1512.0
1626,pink morsel,3.0,564,2018-04-05,east,1692.0
1627,pink morsel,3.0,583,2018-04-05,west,1749.0
1652,pink morsel,3.0,567,2018-04-06,north,1701.0
1653,pink morsel,3.0,584,2018-04-06,south,1752.0
1654,pink morsel,3.0,544,2018-04-06,east,1632.0
1655,pink morsel,3.0,505,2018-04-06,west,1515.0
1680,pink morsel,3.0,575,2018-04-07,north,1725.0
1681,pink morsel,3.0,537,2018-04-07,south,1611.0
1682,pink morsel,3.0,596,2018-04-07,east,1788.0
1683,pink morsel,3.0,539,2018-04-07,west,1617.0
1708,pink morsel,3.0,552,2018-04-08,north,1656.0
1709,pink morsel,3.0,558,2018-04-08,south,1674.0
1710,pink morsel,3.0,519,2018-04-08,east,1557.0
1711,pink morsel,3.0,567,2018-04-08,west,1701.0
1736,pink morsel,3.0,562,2018-04-09,north,1686.0
1737,pink morsel,3.0,594,2018-04-09,south,1782.0
1738,pink morsel,3.0,547,2018-04-09,east,1641.0
1739,pink morsel,3.0,519,2018-04-09,west,1557.0
1764,pink morsel,3.0,562,2018-04-10,north,1686.0
1765,pink morsel,3.0,509,2018-04-10,south,1527.0
1766,pink morsel,3.0,566,2018-04-10,east,1698.0
1767,pink morsel,3.0,576,2018-04-10,west,1728.0
1792,pink morsel,3.0,557,2018-04-11,north,1671.0
1793,pink morsel,3.0,509,2018-04-11,south,1527.0
1794,pink morsel,3.0,527,2018-04-11,east,1581.0
1795,pink morsel,3.0,588,2018-04-11,west,1764.0
1820,pink morsel,3.0,551,2018-04-12,north,1653.0
1821,pink morsel,3.0,542,2018-04-12,south,1626.0
1822,pink morsel,3.0,594,2018-04-12,east,1782.0
1823,pink morsel,3.0,583,2018-04-12,west,1749.0
1848,pink morsel,3.0,513,2018-04-13,north,1539.0
1849,pink morsel,3.0,584,2018-04-13,south,1752.0
1850,pink morsel,3.0,558,2018-04-13,east,1674.0
1851,pink morsel,3.0,583,2018-04-13,west,1749.0
1876,pink morsel,3.0,523,2018-04-14,north,1569.0
1877,pink morsel,3.0,598,2018-04-14,south,1794.0
1878,pink morsel,3.0,558,2018-04-14,east,1674.0
1879,pink morsel,3.0,546,2018-04-14,west,1638.0
1904,pink morsel,3.0,505,2018-04-15,north,1515.0
1905,pink morsel,3.0,509,2018-04-15,south,1527.0
1906,pink morsel,3.0,534,2018-04-15,east,1602.0
1907,pink morsel,3.0,551,2018-04-15,west,1653.0
1932,pink morsel,3.0,534,2018-04-16,north,1602.0
1933,pink morsel,3.0,569,2018-04-16,south,1707.0
1934,pink morsel,3.0,516,2018-04-16,east,1548.0
1935,pink morsel,3.0,509,2018-04-16,west,1527.0
1960,pink morsel,3.0,533,2018-04-17,north,1599.0
1961,pink morsel,3.0,576,2018-04-17,south,1728.0
1962,pink morsel,3.0,568,2018-04-17,east,1704.0
1963,pink morsel,3.0,513,2018-04-17,west,1539.0
1988,pink morsel,3.0,515,2018-04-18,north,1545.0
1989,pink morsel,3.0,599,2018-04-18,south,1797.0
1990,pink morsel,3.0,505,2018-04-18,east,1515.0
1991,pink morsel,3.0,573,2018-04-18,west,1719.0
2016,pink morsel,3.0,571,2018-04-19,north,1713.0
2017,pink morsel,3.0,558,2018-04-19,south,1674.0
2018,pink morsel,3.0,589,2018-04-19,east,1767.0
2019,pink morsel,3.0,589,2018-04-19,west,1767.0
2044,pink morsel,3.0,556,2018-04-20,north,1668.0
2045,pink morsel,3.0,540,2018-04-20,south,1620.0
2046,pink morsel,3.0,559,2018-04-20,east,1677.0
2047,pink morsel,3.0,503,2018-04-20,west,1509.0
2072,pink morsel,3.0,561,2018-04-21,north,1683.0
2073,pink morsel,3.0,581,2018-04-21,south,1743.0
2074,pink morsel,3.0,548,2018-04-21,east,1644.0
2075,pink morsel,3.0,526,2018-04-21,west,1578.0
2100,pink morsel,3.0,524,2018-04-22,north,1572.0
2101,pink morsel,3.0,515,2018-04-22,south,1545.0
2102,pink morsel,3.0,519,2018-04-22,east,1557.0
2103,pink morsel,3.0,542,2018-04-22,west,1626.0
2128,pink morsel,3.0,570,2018-04-23,north,1710.0
2129,pink morsel,3.0,553,2018-04-23,south,1659.0
2130,pink morsel,3.0,555,2018-04-23,east,1665.0
2131,pink morsel,3.0,507,2018-04-23,west,1521.0
2156,pink morsel,3.0,501,2018-04-24,north,1503.0
2157,pink morsel,3.0,550,2018-04-24,south,1650.0
2158,pink morsel,3.0,563,2018-04-24,east,1689.0
2159,pink morsel,3.0,581,2018-04-24,west,1743.0
2184,pink morsel,3.0,541,2018-04-25,north,1623.0
2185,pink morsel,3.0,501,2018-04-25,south,1503.0
2186,pink morsel,3.0,586,2018-04-25,east,1758.0
2187,pink morsel,3.0,519,2018-04-25,west,1557.0
2212,pink morsel,3.0,571,2018-04-26,north,1713.0
2213,pink morsel,3.0,578,2018-04-26,south,1734.0
2214,pink morsel,3.0,580,2018-04-26,east,1740.0
2215,pink morsel,3.0,521,2018-04-26,west,1563.0
2240,pink morsel,3.0,572,2018-04-27,north,1716.0
2241,pink morsel,3.0,597,2018-04-27,south,1791.0
2242,pink morsel,3.0,558,2018-04-27,east,1674.0
2243,pink morsel,3.0,572,2018-04-27,west,1716.0
2268,pink morsel,3.0,544,2018-04-28,north,1632.0
2269,pink morsel,3.0,547,2018-04-28,south,1641.0
2270,pink morsel,3.0,528,2018-04-28,east,1584.0
2271,pink morsel,3.0,530,2018-04-28,west,1590.0
2296,pink morsel,3.0,571,2018-04-29,north,1713.0
2297,pink morsel,3.0,531,2018-04-29,south,1593.0
2298,pink morsel,3.0,580,2018-04-29,east,1740.0
2299,pink morsel,3.0,546,2018-04-29,west,1638.0
2324,pink morsel,3.0,551,2018-04-30,north,1653.0
2325,pink morsel,3.0,530,2018-04-30,south,1590.0
2326,pink morsel,3.0,531,2018-04-30,east,1593.0
2327,pink morsel,3.0,534,2018-04-30,west,1602.0
2352,pink morsel,3.0,595,2018-05-01,north,1785.0
2353,pink morsel,3.0,588,2018-05-01,south,1764.0
2354,pink morsel,3.0,502,2018-05-01,east,1506.0
2355,pink morsel,3.0,512,2018-05-01,west,1536.0
2380,pink morsel,3.0,541,2018-05-02,north,1623.0
2381,pink morsel,3.0,558,2018-05-02,south,1674.0
2382,pink morsel,3.0,597,2018-05-02,east,1791.0
2383,pink morsel,3.0,551,2018-05-02,west,1653.0
2408,pink morsel,3.0,595,2018-05-03,north,1785.0
2409,pink morsel,3.0,523,2018-05-03,south,1569.0
2410,pink morsel,3.0,500,2018-05-03,east,1500.0
2411,pink morsel,3.0,590,2018-05-03,west,1770.0
2436,pink morsel,3.0,551,2018-05-04,north,1653.0
2437,pink morsel,3.0,530,2018-05-04,south,1590.0
2438,pink morsel,3.0,557,2018-05-04,east,1671.0
2439,pink morsel,3.0,543,2018-05-04,west,1629.0
2464,pink morsel,3.0,526,2018-05-05,north,1578.0
2465,pink morsel,3.0,555,2018-05-05,south,1665.0
2466,pink morsel,3.0,525,2018-05-05,east,1575.0
2467,pink morsel,3.0,529,2018-05-05,west,1587.0
2492,pink morsel,3.0,558,2018-05-06,north,1674.0
2493,pink morsel,3.0,595,2018-05-06,south,1785.0
2494,pink morsel,3.0,573,2018-05-06,east,1719.0
2495,pink morsel,3.0,539,2018-05-06,west,1617.0
2520,pink morsel,3.0,598,2018-05-07,north,1794.0
2521,pink morsel,3.0,521,2018-05-07,south,1563.0
2522,pink morsel,3.0,576,2018-05-07,east,1728.0
2523,pink morsel,3.0,580,2018-05-07,west,1740.0
2548,pink morsel,3.0,539,2018-05-08,north,1617.0
2549,pink morsel,3.0,550,2018-05-08,south,1650.0
2550,pink morsel,3.0,576,2018-05-08,east,1728.0
2551,pink morsel,3.0,545,2018-05-08,west,1635.0
2576,pink morsel,3.0,528,2018-05-09,north,1584.0
2577,pink morsel,3.0,549,2018-05-09,south,1647.0
2578,pink morsel,3.0,517,2018-05-09,east,1551.0
2579,pink morsel,3.0,504,2018-05-09,west,1512.0
2604,pink morsel,3.0,579,2018-05-10,north,1737.0
2605,pink morsel,3.0,517,2018-05-10,south,1551.0
2606,pink morsel,3.0,505,2018-05-10,east,1515.0
2607,pink morsel,3.0,572,2018-05-10,west,1716.0
2632,pink morsel,3.0,582,2018-05-11,north,1746.0
2633,pink morsel,3.0,559,2018-05-11,south,1677.0
2634,pink morsel,3.0,528,2018-05-11,east,1584.0
2635,pink morsel,3.0,539,2018-05-11,west,1617.0
2660,pink morsel,3.0,581,2018-05-12,north,1743.0
2661,pink morsel,3.0,511,2018-05-12,south,1533.0
2662,pink morsel,3.0,507,2018-05-12,east,1521.0
2663,pink morsel,3.0,526,2018-05-12,west,1578.0
2688,pink morsel,3.0,515,2018-05-13,north,1545.0
2689,pink morsel,3.0,571,2018-05-13,south,1713.0
2690,pink morsel,3.0,555,2018-05-13,east,1665.0
2691,pink morsel,3.0,548,2018-05-13,west,1644.0
2716,pink morsel,3.0,592,2018-05-14,north,1776.0
2717,pink morsel,3.0,520,2018-05-14,south,1560.0
2718,pink morsel,3.0,548,2018-05-14,east,1644.0
2719,pink morsel,3.0,501,2018-05-14,west,1503.0
2744,pink morsel,3.0,600,2018-05-15,north,1800.0
2745,pink morsel,3.0,586,2018-05-15,south,1758.0
2746,pink morsel,3.0,567,2018-05-15,east,1701.0
2747,pink morsel,3.0,557,2018-05-15,west,1671.0
2772,pink morsel,3.0,531,2018-05-16,north,1593.0
2773,pink morsel,3.0,539,2018-05-16,south,1617.0
2774,pink morsel,3.0,542,2018-05-16,east,1626.0
2775,pink morsel,3.0,543,2018-05-16,west,1629.0
2800,pink morsel,3.0,576,2018-05-17,north,1728.0
2801,pink morsel,3.0,502,2018-05-17,south,1506.0
2802,pink morsel,3.0,530,2018-05-17,east,1590.0
2803,pink morsel,3.0,542,2018-05-17,west,1626.0
2828,pink morsel,3.0,594,2018-05-18,north,1782.0
2829,pink morsel,3.0,524,2018-05-18,south,1572.0
2830,pink morsel,3.0,513,2018-05-18,east,1539.0
2831,pink morsel,3.0,503,2018-05-18,west,1509.0
2856,pink morsel,3.0,596,2018-05-19,north,1788.0
2857,pink morsel,3.0,571,2018-05-19,south,1713.0
2858,pink morsel,3.0,542,2018-05-19,east,1626.0
2859,pink morsel,3.0,543,2018-05-19,west,1629.0
2884,pink morsel,3.0,516,2018-05-20,north,1548.0
2885,pink morsel,3.0,572,2018-05-20,south,1716.0
2886,pink morsel,3.0,584,2018-05-20,east,1752.0
2887,pink morsel,3.0,546,2018-05-20,west,1638.0
2912,pink morsel,3.0,525,2018-05-21,north,1575.0
2913,pink morsel,3.0,557,2018-05-21,south,1671.0
2914,pink morsel,3.0,542,2018-05-21,east,1626.0
2915,pink morsel,3.0,524,2018-05-21,west,1572.0
2940,pink morsel,3.0,524,2018-05-22,north,1572.0
2941,pink morsel,3.0,523,2018-05-22,south,1569.0
2942,pink morsel,3.0,527,2018-05-22,east,1581.0
2943,pink morsel,3.0,507,2018-05-22,west,1521.0
2968,pink morsel,3.0,547,2018-05-23,north,1641.0
2969,pink morsel,3.0,564,2018-05-23,south,1692.0
2970,pink morsel,3.0,571,2018-05-23,east,1713.0
2971,pink morsel,3.0,521,2018-05-23,west,1563.0
2996,pink morsel,3.0,508,2018-05-24,north,1524.0
2997,pink morsel,3.0,511,2018-05-24,south,1533.0
2998,pink morsel,3.0,565,2018-05-24,east,1695.0
2999,pink morsel,3.0,511,2018-05-24,west,1533.0
3024,pink morsel,3.0,533,2018-05-25,north,1599.0
3025,pink morsel,3.0,555,2018-05-25,south,1665.0
3026,pink morsel,3.0,571,2018-05-25,east,1713.0
3027,pink morsel,3.0,548,2018-05-25,west,1644.0
3052,pink morsel,3.0,592,2018-05-26,north,1776.0
3053,pink morsel,3.0,510,2018-05-26,south,1530.0
3054,pink morsel,3.0,550,2018-05-26,east,1650.0
3055,pink morsel,3.0,504,2018-05-26,west,1512.0
3080,pink morsel,3.0,543,2018-05-27,north,1629.0
3081,pink morsel,3.0,569,2018-05-27,south,1707.0
3082,pink morsel,3.0,507,2018-05-27,east,1521.0
3083,pink morsel,3.0,587,2018-05-27,west,1761.0
3108,pink morsel,3.0,585,2018-05-28,north,1755.0
3109,pink morsel,3.0,553,2018-05-28,south,1659.0
3110,pink morsel,3.0,600,2018-05-28,east,1800.0
3111,pink morsel,3.0,513,2018-05-28,west,1539.0
3136,pink morsel,3.0,571,2018-05-29,north,1713.0
3137,pink morsel,3.0,584,2018-05-29,south,1752.0
3138,pink morsel,3.0,543,2018-05-29,east,1629.0
3139,pink morsel,3.0,545,2018-05-29,west,1635.0
3164,pink morsel,3.0,558,2018-05-30,north,1674.0
3165,pink morsel,3.0,567,2018-05-30,south,1701.0
3166,pink morsel,3.0,538,2018-05-30,east,1614.0
3167,pink morsel,3.0,598,2018-05-30,west,1794.0
3192,pink morsel,3.0,575,2018-05-31,north,1725.0
3193,pink morsel,3.0,553,2018-05-31,south,1659.0
3194,pink morsel,3.0,512,2018-05-31,east,1536.0
3195,pink morsel,3.0,540,2018-05-31,west,1620.0
3220,pink morsel,3.0,598,2018-06-01,north,1794.0
3221,pink morsel,3.0,541,2018-06-01,south,1623.0
3222,pink morsel,3.0,555,2018-06-01,east,1665.0
3223,pink morsel,3.0,557,2018-06-01,west,1671.0
3248,pink morsel,3.0,584,2018-06-02,north,1752.0
3249,pink morsel,3.0,569,2018-06-02,south,1707.0
3250,pink morsel,3.0,599,2018-06-02,east,1797.0
3251,pink morsel,3.0,556,2018-06-02,west,1668.0
3276,pink morsel,3.0,532,2018-06-03,north,1596.0
3277,pink morsel,3.0,501,2018-06-03,south,1503.0
3278,pink morsel,3.0,526,2018-06-03,east,1578.0
3279,pink morsel,3.0,560,2018-06-03,west,1680.0
3304,pink morsel,3.0,536,2018-06-04,north,1608.0
3305,pink morsel,3.0,561,2018-06-04,south,1683.0
3306,pink morsel,3.0,524,2018-06-04,east,1572.0
3307,pink morsel,3.0,552,2018-06-04,west,1656.0
3332,pink morsel,3.0,571,2018-06-05,north,1713.0
3333,pink morsel,3.0,566,2018-06-05,south,1698.0
3334,pink morsel,3.0,519,2018-06-05,east,1557.0
3335,pink morsel,3.0,594,2018-06-05,west,1782.0
3360,pink morsel,3.0,565,2018-06-06,north,1695.0
3361,pink morsel,3.0,560,2018-06-06,south,1680.0
3362,pink morsel,3.0,587,2018-06-06,east,1761.0
3363,pink morsel,3.0,553,2018-06-06,west,1659.0
3388,pink morsel,3.0,506,2018-06-07,north,1518.0
3389,pink morsel,3.0,524,2018-06-07,south,1572.0
